date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:57	412/412	---M-Z	200	added ('OK')	text/plain	date:Wed,%2026%20Oct%202022%2006:02:56%20GMT	https://www.aerospacemanufacturinganddesign.com/robots.txt		(from )
11:33:00	63715/63715	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2006:02:59%20GMT	https://www.aerospacemanufacturinganddesign.com/	C:/My%20Web%20Sites/five/www.aerospacemanufacturinganddesign.com/index.html	(from )
11:33:01	104136/104136	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2026%20Oct%202022%2006:03:00%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/five/connect.facebook.net/en_US/fbevents.js	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:01	200/200	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Oct%202022%2006:03:01%20GMT	https://www.aerospacemanufacturinganddesign.com/fileuploads/Image/logos/favicons/amd.png	C:/My%20Web%20Sites/five/www.aerospacemanufacturinganddesign.com/fileuploads/Image/logos/favicons/amd.1.delayed	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:02	194/194	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2026%20Oct%202022%2006:03:02%20GMT	https://giecdn.azureedge.net/storage/fileuploads/image/logos/favicons/amd.png	C:/My%20Web%20Sites/five/giecdn.azureedge.net/storage/fileuploads/image/logos/favicons/amd.2.delayed	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:03	2653/2653	---M--	200	added ('OK')	image/png	etag:%220x8D55F9523853388%22	https://giecdn.blob.core.windows.net/fileuploads/image/logos/favicons/amd.png	C:/My%20Web%20Sites/five/giecdn.blob.core.windows.net/fileuploads/image/logos/favicons/amd.png	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:05	226448/226448	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2006:03:05%20GMT	https://www.aerospacemanufacturinganddesign.com/content/css?v=5Zew3Nj0uBr5V79TJulfFwabF_1KelN-vgQcV1jrtxs1	C:/My%20Web%20Sites/five/www.aerospacemanufacturinganddesign.com/content/cssb425.css	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:05	1660/1660	---M-Z	200	added ('OK')	text/css	etag:%22e530b7b2f87fd81:0%22	https://www.aerospacemanufacturinganddesign.com/Content/amd.css	C:/My%20Web%20Sites/five/www.aerospacemanufacturinganddesign.com/Content/amd.css	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:08	1424/1424	---M-Z	200	added ('OK')	text/css	etag:%2250f93f9597cd81:0%22	https://isirc.gie.net/Content/iSirc.Forms.Client.css	C:/My%20Web%20Sites/five/isirc.gie.net/Content/iSirc.Forms.Client.css	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:10	321827/321827	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2006:03:09%20GMT	https://www.aerospacemanufacturinganddesign.com/bundles/jquery?v=Xx5tWzlch-PjO29c14BqKLzYycVSDOIVNOFfvCB52Rw1	C:/My%20Web%20Sites/five/www.aerospacemanufacturinganddesign.com/bundles/jquery78f4	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:10	41024/41024	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2006:03:10%20GMT	https://www.aerospacemanufacturinganddesign.com/bundles/bootstrap?v=-E2h0JNP9ywHicZqx2v7xroPHwrS41fCoAm6H8FtyrM1	C:/My%20Web%20Sites/five/www.aerospacemanufacturinganddesign.com/bundles/bootstrap3649	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:11	11095/11095	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2006:03:11%20GMT	https://www.aerospacemanufacturinganddesign.com/bundles/modernizr?v=inCVuEFe6J4Q07A0AcRsbJic_UE5MwpRMNGcOtk94TE1	C:/My%20Web%20Sites/five/www.aerospacemanufacturinganddesign.com/bundles/modernizr0cf5	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:12	26888/26888	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280d65e9597cd81:0%22	https://isirc.gie.net/Scripts/iSirc.FormClient.js	C:/My%20Web%20Sites/five/isirc.gie.net/Scripts/iSirc.FormClient.js	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:13	3938/3938	---M-Z	200	added ('OK')	text/css	etag:%225eb03e2d-f62%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	C:/My%20Web%20Sites/five/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:14	19802/19802	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-4d5a%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js	C:/My%20Web%20Sites/five/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js	(from https://www.aerospacemanufacturinganddesign.com/)
11:33:15	19323/19323	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2006:03:15%20GMT	http://use.typekit.net/cvx7szz.js	C:/My%20Web%20Sites/five/use.typekit.net/cvx7szz.js	(from https://www.aerospacemanufacturinganddesign.com/)
